PID AA_1 AA_2 AA_3 AA_4 AA_5 AA_6 AA_7 AA_8 AA_9 AA_10 AA_11 AA_12 AA_13 AA_14 AA_15 AA_16 AA_17 AA_18 AA_19 AA_20
Pathogen_1 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0
Pathogen_2 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0
Pathogen_3 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 1
Pathogen_4 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1
Pathogen_5 1 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 0 1
Pathogen_6 0 0 1 1 1 0 1 1 0 1 0 1 0 0 0 0 0 0 1 1
Pathogen_7 1 0 1 0 1 1 1 1 0 1 1 0 0 0 0 0 0 1 1 0
Pathogen_8 0 0 1 0 1 1 1 1 0 1 0 0 1 0 1 0 0 0 1 1
Pathogen_9 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0
Pathogen_10 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0
Pathogen_11 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1
Pathogen_12 0 1 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0
Pathogen_13 0 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1
Pathogen_14 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1
Pathogen_15 0 1 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 1 1 0
Pathogen_16 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0
Pathogen_17 0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 1 1 0 1 0
Pathogen_18 1 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0
Pathogen_19 0 0 0 1 1 1 1 1 1 1 0 0 0 1 0 1 0 0 0 1
Pathogen_20 1 1 1 1 1 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0
Pathogen_21 0 1 0 0 1 1 1 0 0 1 0 0 1 0 0 0 1 0 1 1
Pathogen_22 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0
Pathogen_23 0 1 1 0 1 1 1 1 0 1 0 0 1 0 1 0 0 1 1 1
Pathogen_24 1 1 1 1 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1
Pathogen_25 0 1 1 0 1 1 0 1 1 1 0 0 1 0 1 0 0 1 0 0
Pathogen_26 0 1 1 1 1 1 0 0 1 1 0 1 1 0 0 0 0 1 1 1
Pathogen_27 1 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1
Pathogen_28 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0
Pathogen_29 0 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 0
Pathogen_30 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0
Pathogen_31 0 0 0 0 1 1 1 1 0 1 1 0 1 0 0 1 1 0 0 0
Pathogen_32 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0
Pathogen_33 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 1 1 1
Pathogen_34 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0
Pathogen_35 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0
Pathogen_36 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0
Pathogen_37 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 0 0 0 1 0
Pathogen_38 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0 1 0 0 1
Pathogen_39 1 0 1 1 1 1 1 1 1 0 0 0 1 0 0 0 1 0 0 1
Pathogen_40 0 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 0 1 1 0
Pathogen_41 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0
Pathogen_42 0 0 1 1 1 1 0 1 0 1 1 0 0 0 1 0 1 1 1 1
Pathogen_43 0 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1
Pathogen_44 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0
Pathogen_45 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 1
Pathogen_46 0 1 1 0 1 1 1 1 0 1 0 0 1 0 1 0 1 0 0 0
Pathogen_47 1 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1
Pathogen_48 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0
Pathogen_49 0 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 0 1 1
Pathogen_50 0 0 1 0 1 1 1 1 0 1 0 0 1 0 0 0 1 0 0 0
Pathogen_51 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0
Pathogen_52 1 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0
Pathogen_53 1 0 1 1 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 1
Pathogen_54 1 0 1 0 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0 1
Pathogen_55 0 1 0 0 1 1 0 1 1 1 1 0 0 0 1 0 1 0 1 0
Pathogen_56 0 0 0 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0
Pathogen_57 0 0 1 0 1 1 1 1 0 1 0 0 0 1 1 0 1 0 0 1
Pathogen_58 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 0 1
Pathogen_59 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 1
Pathogen_60 1 1 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0
Pathogen_61 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 0
Pathogen_62 0 0 0 0 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 1
Pathogen_63 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 1 1 0 0
Pathogen_64 1 0 1 0 1 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0
Pathogen_65 1 0 0 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0
Pathogen_66 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 1
Pathogen_67 0 1 0 0 1 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0
Pathogen_68 0 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1
Pathogen_69 0 0 1 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0
Pathogen_70 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1 1 0 1
Pathogen_71 0 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1
Pathogen_72 1 0 1 0 1 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0
Pathogen_73 1 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0
Pathogen_74 1 0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0
Pathogen_75 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1
Pathogen_76 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0
Pathogen_77 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0
Pathogen_78 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
